Wikipedia_movie_ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,nb_languages,nb_country,nb_genre,Movie_language,FirstLanguage_Name,SecondLanguage_Name,FirstCountry_Name,SecondCountry_Name
975900,/m/03vyhn,Ghosts of Mars,2001-08-24 00:00:00+00:00,14010832.0,98.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Supernatural', 'Action', 'Space western']",1,1,7,['English '],English ,,United States of America,
3196793,/m/08yl5d,Getting Away with Murder: The JonBenét Ramsey Mystery,2000-02-16 00:00:00+00:00,,95.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Mystery', 'Biographical film', 'Drama', 'Crime Drama']",1,1,4,['English '],English ,,United States of America,
28463795,/m/0crgdbh,Brun bitter,1988-01-01 00:00:00+00:00,,83.0,"{""/m/05f_3"": ""Norwegian Language""}",['Norway'],"['Crime Fiction', 'Drama']",1,1,2,['Norwegian '],Norwegian ,,Norway,
9363483,/m/0285_cd,White Of The Eye,1987-01-01 00:00:00+00:00,,110.0,"{""/m/02h40lc"": ""English Language""}",['United Kingdom'],"['Thriller', 'Erotic thriller', 'Psychological thriller']",1,1,3,['English '],English ,,United Kingdom,
261236,/m/01mrr1,A Woman in Flames,1983-01-01 00:00:00+00:00,,106.0,"{""/m/04306rv"": ""German Language""}",['Germany'],['Drama'],1,1,1,['German '],German ,,Germany,
13696889,/m/03cfc81,The Gangsters,1913-05-29 00:00:00+00:00,,35.0,"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}",['United States of America'],"['Short Film', 'Silent film', 'Indie', 'Black-and-white', 'Comedy']",2,1,5,"['Silent film', 'English ']",Silent film,English ,United States of America,
18998739,/m/04jcqvw,The Sorcerer's Apprentice,2002-01-01 00:00:00+00:00,,86.0,"{""/m/02h40lc"": ""English Language""}",['South Africa'],"['Family Film', 'Fantasy', 'Adventure', 'World cinema']",1,1,4,['English '],English ,,South Africa,
10408933,/m/02qc0j7,Alexander's Ragtime Band,1938-08-16 00:00:00+00:00,3600000.0,106.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Musical', 'Comedy', 'Black-and-white']",1,1,3,['English '],English ,,United States of America,
9997961,/m/06_y2j7,Contigo y aquí,1974-01-01 00:00:00+00:00,,,"{""/m/06nm1"": ""Spanish Language""}",['Argentina'],"['Musical', 'Drama', 'Comedy']",1,1,3,['Spanish '],Spanish ,,Argentina,
2345652,/m/075f66,City of the Dead,1960-01-01 00:00:00+00:00,,76.0,"{""/m/02h40lc"": ""English Language""}",['United Kingdom'],"['Horror', 'Supernatural']",1,1,2,['English '],English ,,United Kingdom,
175026,/m/017n1p,Sarah and Son,1930-01-01 00:00:00+00:00,,86.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Drama', 'Black-and-white']",1,1,2,['English '],English ,,United States of America,
24229100,/m/07kjkz6,Lady Snowblood 2: Love Song of Vengeance,1974-01-01 00:00:00+00:00,,89.0,"{""/m/03_9r"": ""Japanese Language""}",['Japan'],"['Crime Fiction', 'Thriller', 'Japanese Movies', 'World cinema', 'Action/Adventure']",1,1,5,['Japanese '],Japanese ,,Japan,
6631279,/m/0gffwj,Little city,1997-04-04 00:00:00+00:00,,93.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romantic comedy', 'Ensemble Film', 'Comedy-drama', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']",1,1,7,['English '],English ,,United States of America,
171005,/m/016ywb,Henry V,1989-11-08 00:00:00+00:00,10161099.0,137.0,"{""/m/02h40lc"": ""English Language""}",['United Kingdom'],"['Costume drama', 'War film', 'Epic', 'Period piece', 'Drama', 'Film adaptation']",1,1,6,['English '],English ,,United Kingdom,
18296435,/m/04cqrs4,Aaah Belinda,1986-01-01 00:00:00+00:00,,,"{""/m/02hwyss"": ""Turkish Language""}",['Turkey'],['Comedy'],1,1,1,['Turkish '],Turkish ,,Turkey,
11250635,/m/02r52hc,The Mechanical Monsters,,,,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Science Fiction', 'Adventure', 'Animation', 'Short Film', 'Fantasy', 'Family Film', 'Action']",1,1,7,['English '],English ,,United States of America,
30388930,/m/0g5qvzg,1919,1984-01-01 00:00:00+00:00,,99.0,{},,['Drama'],0,0,1,,,,,
77856,/m/0kcn7,Mary Poppins,1964-08-27 00:00:00+00:00,102272727.0,139.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"[""Children's/Family"", 'Musical', 'Fantasy', 'Comedy', 'Drama', 'Family Film', ""Children's Fantasy""]",1,1,7,['English '],English ,,United States of America,
32456683,/m/0gyryjt,Die Fahne von Kriwoj Rog,1967-01-01 00:00:00+00:00,,108.0,"{""/m/04306rv"": ""German Language""}",['German Democratic Republic'],,1,1,0,['German '],German ,,German Democratic Republic,
33420460,/m/0gj30jx,Keep the Change,1992-01-01 00:00:00+00:00,,97.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],['Drama'],1,1,1,['English '],English ,,United States of America,
175024,/m/017n1b,The Devil's Holiday,1930-01-01 00:00:00+00:00,,,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romance Film', 'Drama', 'Black-and-white']",1,1,3,['English '],English ,,United States of America,
612710,/m/02wjqm,New Rose Hotel,1999-10-01 00:00:00+00:00,21521.0,92.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Thriller', 'Science Fiction', 'Future noir', 'Indie', 'Erotic thriller', 'Fantasy', 'Film adaptation', 'Drama']",1,1,8,['English '],English ,,United States of America,
21926710,/m/05p45cv,White on Rice,2009-01-01 00:00:00+00:00,,82.0,{},['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy', 'Indie']",0,1,4,,,,United States of America,
33427105,/m/0h964n1,Freddy and the Song of the South Pacific,1962-09-12 00:00:00+00:00,,97.0,"{""/m/04306rv"": ""German Language""}",['Germany'],"['Drama', 'Adventure']",1,1,2,['German '],German ,,Germany,
31983669,/m/0g4_n3m,Road to Life,1931-09-30 00:00:00+00:00,,104.0,"{""/m/06b_j"": ""Russian Language""}",['Soviet Union'],['Drama'],1,1,1,['Russian '],Russian ,,Soviet Union,
17715326,/m/047t9rb,Camera Thrills,1935-09-01 00:00:00+00:00,,25.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],['Short Film'],1,1,1,['English '],English ,,United States of America,
22087420,/m/05pckh0,"Ferdinando I, re di Napoli",1959-12-22 00:00:00+00:00,,105.0,"{""/m/02bjrlw"": ""Italian Language""}","['France', 'Italy']","['Comedy', 'Black-and-white']",1,2,2,['Italian '],Italian ,,France,Italy
20604092,/m/0523t_1,Anbu Thozhi,2007-08-17 00:00:00+00:00,,,"{""/m/07c9s"": ""Tamil Language""}",['India'],['Romance Film'],1,1,1,['Tamil '],Tamil ,,India,
21344842,/m/05f5_5y,Middle Age Spread,1979-01-01 00:00:00+00:00,,98.0,"{""/m/02h40lc"": ""English Language""}",['New Zealand'],"['Comedy film', 'Drama']",1,1,2,['English '],English ,,New Zealand,
156558,/m/014k4y,Baby Boy,2001-06-27 00:00:00+00:00,29381649.0,123.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Crime Fiction', 'Drama', 'Coming of age']",1,1,3,['English '],English ,,United States of America,
11448183,/m/02rc_h4,Bindiya Chamkegi,1984-01-20 00:00:00+00:00,,,"{""/m/03k50"": ""Hindi Language""}",['India'],"['Family Film', 'Comedy']",1,1,2,['Hindi '],Hindi ,,India,
9633533,/m/02pml15,Vandanam,1989-01-01 00:00:00+00:00,,168.0,"{""/m/0999q"": ""Malayalam Language""}",['India'],['Action'],1,1,1,['Malayalam '],Malayalam ,,India,
31323091,/m/0gjd9q4,Emilia Galotti,1958-01-01 00:00:00+00:00,,,"{""/m/04306rv"": ""German Language""}",['German Democratic Republic'],,1,1,0,['German '],German ,,German Democratic Republic,
27611999,/m/04j284s,Special Effects,1984-01-01 00:00:00+00:00,,93.0,{},"['United States of America', 'United Kingdom']","['Thriller', 'Horror', 'Psychological thriller', 'Suspense', 'Crime Thriller', 'Black comedy']",0,2,6,,,,United States of America,United Kingdom
31025505,/m/0gg5xnj,El Misterioso señor Marquina,1943-01-01 00:00:00+00:00,,,"{""/m/06nm1"": ""Spanish Language""}",['Mexico'],"['Mystery', 'Drama']",1,1,2,['Spanish '],Spanish ,,Mexico,
29528534,/m/04j0lfk,Anokha Rishta,1986-01-01 00:00:00+00:00,,180.0,"{""/m/03k50"": ""Hindi Language""}",['India'],"['World cinema', 'Musical', 'Drama', 'Romantic drama', 'Romance Film', 'Bollywood']",1,1,6,['Hindi '],Hindi ,,India,
1364293,/m/04wy0v,They Knew What They Wanted,1940-01-01 00:00:00+00:00,932000.0,96.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romance Film', 'Marriage Drama', 'Drama', 'Black-and-white']",1,1,4,['English '],English ,,United States of America,
29772142,/m/0fq260_,Karayilekku Oru Kadal Dooram,2010-12-31 00:00:00+00:00,,110.0,"{""/m/0999q"": ""Malayalam Language""}",['India'],['Drama'],1,1,1,['Malayalam '],Malayalam ,,India,
26067101,/m/0b6c_nw,Siam Sunset,1999-01-01 00:00:00+00:00,,91.0,{},"['Australia', 'New Zealand']","['Romantic comedy', 'Romance Film', 'Comedy', 'World cinema', 'Indie']",0,2,5,,,,Australia,New Zealand
26623942,/m/0bh9fbk,Kausthubham,2010-03-19 00:00:00+00:00,,,"{""/m/0999q"": ""Malayalam Language""}",['India'],['Drama'],1,1,1,['Malayalam '],Malayalam ,,India,
9912533,/m/06_y54s,Cuando los duendes cazan perdices,1955-01-01 00:00:00+00:00,,,"{""/m/06nm1"": ""Spanish Language""}",['Argentina'],['Black-and-white'],1,1,1,['Spanish '],Spanish ,,Argentina,
9548445,/m/02pjlrp,Archie: To Riverdale and Back Again,1990-05-06 00:00:00+00:00,,100.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],['Comedy'],1,1,1,['English '],English ,,United States of America,
32445576,/m/0gyv1h1,Vinayaka Geleyara Balaga,2011-07-15 00:00:00+00:00,,,{},,,0,0,0,,,,,
26878691,/m/0f400r,Mysterious Island,1982-01-01 00:00:00+00:00,,100.0,"{""/m/0653m"": ""Standard Mandarin""}",['Hong Kong'],"['Action/Adventure', 'Wuxia', 'Martial Arts Film', 'Chinese Movies', 'World cinema']",1,1,5,['Standard Mandarin'],Standard Mandarin,,Hong Kong,
10275424,/m/02q74ng,Woman Hungry,1930-04-04 00:00:00+00:00,,65.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Musical', 'Western']",1,1,2,['English '],English ,,United States of America,
2314463,/m/0734w5,Electric Apricot: Quest For Festeroo,2006-01-01 00:00:00+00:00,,96.0,{},['United States of America'],"['Parody', 'Mockumentary', 'Comedy']",0,1,3,,,,United States of America,
2487170,/m/07h9zj,Troops,1997-01-01 00:00:00+00:00,,10.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Fan film', 'Short Film', 'Indie']",1,1,3,['English '],English ,,United States of America,
25960460,/m/0b6kc_5,Daddy and Them,2001-01-01 00:00:00+00:00,,101.0,"{""/m/02h40lc"": ""English Language""}","['United States of America', 'Netherlands']","['Black comedy', 'Comedy']",1,2,2,['English '],English ,,United States of America,Netherlands
13711159,/m/03cfwy4,The Sky Pirate,1914-07-18 00:00:00+00:00,,,"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}",['United States of America'],"['Silent film', 'Adventure', 'Black-and-white', 'Short Film', 'Drama', 'Comedy', 'Indie']",2,1,7,"['Silent film', 'English ']",Silent film,English ,United States of America,
261237,/m/01mrrd,The Gods Must Be Crazy,1980-01-01 00:00:00+00:00,34331783.0,109.0,"{""/m/0x82"": ""Afrikaans Language"", ""/m/02h40lc"": ""English Language""}",['South Africa'],"['Adventure', 'Action/Adventure', 'Indie', 'World cinema', 'Cult', 'Adventure Comedy', 'Comedy', 'Slapstick']",2,1,8,"['Afrikaans ', 'English ']",Afrikaans ,English ,South Africa,
21153158,/m/05c4bry,Behind The Player: John 5,2008-11-01 00:00:00+00:00,,72.0,{},,,0,0,0,,,,,
14631844,/m/03grb4v,Joan the Woman,1917-01-04 00:00:00+00:00,,138.0,"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}",['United States of America'],"['Silent film', 'Indie', 'War film', 'Epic', 'Black-and-white', 'Drama', 'Biopic [feature]', 'Historical Epic']",2,1,8,"['Silent film', 'English ']",Silent film,English ,United States of America,
14301436,/m/03c_x01,Follow the Crowd,1918-04-07 00:00:00+00:00,,,"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}",['United States of America'],"['Short Film', 'Silent film', 'Indie', 'Black-and-white', 'Comedy']",2,1,5,"['Silent film', 'English ']",Silent film,English ,United States of America,
12008535,/m/02vlsqt,Rudo y Cursi,2008-01-01 00:00:00+00:00,11091868.0,103.0,"{""/m/06nm1"": ""Spanish Language""}","['Mexico', 'United States of America']","['Sports', 'Drama', 'Family Drama', 'Comedy-drama', 'Comedy']",1,2,5,['Spanish '],Spanish ,,Mexico,United States of America
4951456,/m/0cws46,Kinjite: Forbidden Subjects,1989-01-01 00:00:00+00:00,3416846.0,97.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Crime Fiction', 'Action/Adventure', 'Action', 'Thriller']",1,1,4,['English '],English ,,United States of America,
36009421,/m/05b0lk8,Jay Vejay,1977-11-11 00:00:00+00:00,,152.0,"{""/m/03k50"": ""Hindi Language""}",['India'],"['Fantasy', 'Action', 'Drama', 'Adventure']",1,1,4,['Hindi '],Hindi ,,India,
13281430,/m/03c0d85,My Name is Fame,2006-01-01 00:00:00+00:00,,94.0,"{""/m/012w70"": ""Cantonese"", ""/m/0459q4"": ""Standard Cantonese""}",['Hong Kong'],"['Drama', 'Chinese Movies', 'World cinema', 'Comedy']",2,1,4,"['Cantonese', 'Standard Cantonese']",Cantonese,Standard Cantonese,Hong Kong,
11633165,/m/02rm6l8,Innocence,1997-01-01 00:00:00+00:00,,110.0,"{""/m/02hwyss"": ""Turkish Language""}",['Turkey'],"['Crime Fiction', 'Drama', 'Crime Drama']",1,1,3,['Turkish '],Turkish ,,Turkey,
23799443,/m/06_vg9f,Libertad bajo palabra,1961-01-01 00:00:00+00:00,,,"{""/m/06nm1"": ""Spanish Language""}",['Argentina'],['Black-and-white'],1,1,1,['Spanish '],Spanish ,,Argentina,
5708633,/m/0f0d1p,The Great New Wonderful,2006-06-23 00:00:00+00:00,172055.0,87.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Drama', 'Ensemble Film', 'Comedy-drama', 'Indie']",1,1,4,['English '],English ,,United States of America,
12053509,/m/02vn81r,Loverboy,1989-04-28 00:00:00+00:00,3960327.0,98.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy']",1,1,3,['English '],English ,,United States of America,
7252019,/m/0kv1zq,Cally's Comet,1911-04-18 00:00:00+00:00,,,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Short Film', 'Silent film', 'Drama', 'Indie']",1,1,4,['English '],English ,,United States of America,
3645672,/m/09rzk6,I Fidanzati,1962-01-01 00:00:00+00:00,,77.0,"{""/m/02bjrlw"": ""Italian Language""}",['Italy'],"['Romantic drama', 'Romance Film', 'Drama', 'World cinema', 'Black-and-white']",1,1,5,['Italian '],Italian ,,Italy,
29198000,/m/0dll97s,Chandra Mukhi,1993-10-22 00:00:00+00:00,,,"{""/m/03k50"": ""Hindi Language""}",,"['Romance Film', 'Drama']",1,0,2,['Hindi '],Hindi ,,,
1369204,/m/04x8zs,Juarez,1939-01-01 00:00:00+00:00,,125.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}",['United States of America'],"['Costume drama', 'Biographical film', 'Historical fiction', 'Black-and-white', 'Biopic [feature]']",2,1,5,"['English ', 'Spanish ']",English ,Spanish ,United States of America,
