role,Character_name,Movie_name,Freebase_character/actor_map_ID,Actor_name
dumb blonde,Cindy Campbell,Scary Movie 4,/m/0k2y_7,Anna Faris
dumb blonde,Cindy Campbell,Scary Movie 3,/m/0k2z05,Anna Faris
dumb blonde,Brandi,Observe and Report,/m/059sp8v,Anna Faris
dumb blonde,Pola Debevoise,How to Marry a Millionaire,/m/0jzmyb,Marilyn Monroe
dumb blonde,Romy White,Romy and Michele's High School Reunion,/m/0k2p5c,Mira Sorvino
dumb blonde,Michele Weinberger,Romy and Michele's High School Reunion,/m/0k2p5j,Lisa Kudrow
dumb blonde,Suzanne Stone Maretto,To Die For,/m/0k75t3,Nicole Kidman
dumb blonde,Rocky Horror - A Creation,The Rocky Horror Picture Show,/m/02tb6wq,Peter Hinwood
dumb blonde,Mia,Stan Helsing,/m/0gc3g1p,Desi Lydic
dumb blonde,Lina Lamont,Singin' in the Rain,/m/0k3b2r,Jean Hagen
dumb muscle,Lennie Pike,"It's a Mad, Mad, Mad, Mad World",/m/01z0cck,Jonathan Winters
dumb muscle,Mongo,Blazing Saddles,/m/04w0vjn,Alex Karras
dumb muscle,Fezzik,The Princess Bride,/m/0k65zh,André the Giant
dumb muscle,Karl Childers,Sling Blade,/m/0k3dtt,Billy Bob Thornton
eccentric mentor,Aughra,The Dark Crystal,/m/02vbpft,Billie Whitelaw
eccentric mentor,Mr. Kesuke Miyagi,The Karate Kid,/m/0k5jxz,Pat Morita
eccentric mentor,Yoda,Star Wars Episode V: The Empire Strikes Back,/m/02sg6hm,Frank Oz
eccentric mentor,Gandalf,The Lord of the Rings: The Fellowship of the Ring,/m/0k5s9d,Ian McKellen
eccentric mentor,Fin Raziel,Willow,/m/0k837x,Patricia Hayes
egomaniac hunter,Clayton,Tarzan,/m/0k42s4,Brian Blessed
egomaniac hunter,Gaston,Beauty and the Beast,/m/0jv4jc,Richard White
egomaniac hunter,Charles Muntz,Up,/m/045_c9z,Christopher Plummer
egomaniac hunter,John Wilson,"White Hunter, Black Heart",/m/0k818w,Clint Eastwood
egomaniac hunter,Victor Quartermaine,Wallace & Gromit: The Curse of the Were-Rabbit,/m/0k7vr9,Ralph Fiennes
egomaniac hunter,The Predator,Predator 2,/m/03lpp78,Kevin Peter Hall
egomaniac hunter,The Predator,Predator,/m/0h34xg2,Peter Cullen
evil prince,Prince Yu,Curse of the Golden Flower,/m/0gbxx9x,Junjie Qin
evil prince,Crown Prince Leopold,The Illusionist,/m/0k5f_q,Rufus Sewell
evil prince,Commodus,Gladiator,/m/0jytd4,Joaquin Phoenix
evil prince,Lord Nelson Rathbone,Shanghai Knights,/m/02vd4f4,Aidan Gillen
evil prince,Prince Nuada,Hellboy 2: The Golden Army,/m/04m9lhl,Luke Goss
evil prince,Nizam,Prince of Persia: The Sands of Time,/m/04m5488,Ben Kingsley
evil prince,Prince Otwani,Sheena,/m/0k36bq,Trevor Thomas
evil prince,Prince Humperdinck,The Princess Bride,/m/0k65z0,Chris Sarandon
fastest gun in the west,Jim,Blazing Saddles,/m/0jvhqr,Gene Wilder
fastest gun in the west,Bret Maverick,Maverick,/m/0k0hyr,Mel Gibson
fastest gun in the west,Ned Nederlander,¡Three Amigos!,/m/0jshd9,Martin Short
fastest gun in the west,Harmonica,Once Upon a Time in the West,/m/0k1j46,Charles Bronson
fastest gun in the west,Sheriff Woody,Toy Story,/m/0k78tv,Tom Hanks
fastest gun in the west,Ben Wade,3:10 to Yuma,/m/03hqy08,Russell Crowe
fastest gun in the west,RoboCop,RoboCop,/m/0h5q82q,Peter Weller
father to his men,Capt. Mikhail Polenin,K-19: The Widowmaker,/m/0j_9gv,Liam Neeson
father to his men,Capt. Nathan Cutting Brittles,She Wore a Yellow Ribbon,/m/0k35w2,John Wayne
father to his men,Maximus Decimus Meridius,Gladiator,/m/0jytc_,Russell Crowe
father to his men,Jack Aubrey,Master and Commander: The Far Side of the World,/m/0k0h66,Russell Crowe
father to his men,Captain Benjamin L. Willard,Apocalypse Now,/m/0jtp2f,Martin Sheen
father to his men,Captain of the 'Weser',Das Boot,/m/0j47kxy,Günter Lamprecht
father to his men,Captain Nemo,The League of Extraordinary Gentlemen,/m/0k5nrw,Naseeruddin Shah
father to his men,Capt. James 'Bugger' Staros,The Thin Red Line,/m/0k6nwg,Elias Koteas
father to his men,Gen. Robert E. Lee,Gettysburg,/m/0jyqwm,Martin Sheen
father to his men,General Kuribayashi,Letters from Iwo Jima,/m/03jtctp,Ken Watanabe
father to his men,Lt. Commander Ron Hunter,Crimson Tide,/m/0jwsnp,Denzel Washington
father to his men,Christopher Pike,Star Trek,/m/03ld2yg,Bruce Greenwood
father to his men,Zordon,Mighty Morphin' Power Rangers: The Movie,/m/0k0nmw,Nicholas Bell
father to his men,Wolfstan,Black Death,/m/0cg03cg,John Lynch
father to his men,Major Henry West,28 Days Later,/m/0jskmk,Christopher Eccleston
final girl,Nancy Thompson,A Nightmare on Elm Street,/m/0jsvgr,Heather Langenkamp
final girl,Sidney Prescott,Scream,/m/0k2_bc,Neve Campbell
final girl,Ellen Ripley,Alien,/m/0jt7sz,Sigourney Weaver
final girl,Sarah Connor,The Terminator,/m/0k6m_h,Linda Hamilton
final girl,Laurie Strode,Halloween,/m/0jz2x0,Jamie Lee Curtis
final girl,Whitney Miller,Friday the 13th,/m/04ls8ty,Amanda Righetti
gadgeteer genius,Tony Stark,Iron Man,/m/0j1__hv,Robert Downey Jr.
gadgeteer genius,Dr. Loveless,Wild Wild West,/m/0k82tm,Kenneth Branagh
gadgeteer genius,Artemus Gordon,Wild Wild West,/m/0k82tg,Kevin Kline
gadgeteer genius,Lewis,Meet the Robinsons,/m/0k0kn_,Tom Selleck
gadgeteer genius,Anakin Skywalker,Star Wars Episode I: The Phantom Menace,/m/02sg5rn,Jake Lloyd
gadgeteer genius,Ling Ling Fat,Forbidden City Cop,/m/02vb6nv,Stephen Chow
gadgeteer genius,Lucius Fox,The Dark Knight,/m/045yrqg,Morgan Freeman
gentleman thief,John Robie,To Catch a Thief,/m/0k75r_,Cary Grant
gentleman thief,Sir Charles Lytton,The Pink Panther,/m/0k63yr,David Niven
gentleman thief,Neil McCauley,Heat,/m/0jz8sq,Robert De Niro
gentleman thief,Rodney Skinner,The League of Extraordinary Gentlemen,/m/0k5ns5,Tony Curran
gentleman thief,Cobb,Inception,/m/0667g_f,Leonardo DiCaprio
gentleman thief,Nick Wells,The Score,/m/0k6d1f,Robert De Niro
granola person,Beth,John Tucker Must Die,/m/0j_6h2,Sophia Bush
granola person,Jasper Palmer,Children of Men,/m/0jwbh7,Michael Caine
granola person,Max Dennison,Hocus Pocus,/m/02vd92w,Omri Katz
granola person,Lotte Schwartz,Being John Malkovich,/m/0jv6mp,Cameron Diaz
granola person,Ana Pascal,Stranger Than Fiction,/m/0k3t_x,Maggie Gyllenhaal
granola person,Ashley,Orange County,/m/0k1m4g,Schuyler Fisk
granola person,Sheldon Mopes,Death to Smoochy,/m/0jx3b8,Edward Norton
granola person,Bill Django,The Men Who Stare at Goats,/m/06679y8,Jeff Bridges
grumpy old man,Max Goldman,Grumpy Old Men,/m/02vcwz0,Walter Matthau
grumpy old man,Walt Kowalski,Gran Torino,/m/059t435,Clint Eastwood
grumpy old man,Carl Fredricksen,Up,/m/045_cb3,Ed Asner
grumpy old man,Howard Beale,Network,/m/0k168v,Peter Finch
grumpy old man,Judge Elihu Smails,Caddyshack,/m/04w0v_v,Ted Knight
hardboiled detective,Sam Spade,The Maltese Falcon,/m/04dmkpj,Humphrey Bogart
hardboiled detective,Philip Marlowe,The Big Sleep,/m/0k4gwm,Humphrey Bogart
hardboiled detective,Dist. Atty. Martin Ferguson,The Enforcer,/m/0k4_sm,Humphrey Bogart
hardboiled detective,Capt. 'Rip' Murdock,Dead Reckoning,/m/0jx253,Humphrey Bogart
hardboiled detective,Jeff Bailey,Out of the Past,/m/0k1nzj,Robert Mitchum
hardboiled detective,J. J. Gittes,Chinatown,/m/0jwcjk,Jack Nicholson
hardboiled detective,Eddie Valiant,Who Framed Roger Rabbit,/m/0k81jp,Bob Hoskins
hardboiled detective,Rick Deckard,Blade Runner,/m/0jvhbm,Harrison Ford
heartbroken badass,Mina Harker,The League of Extraordinary Gentlemen,/m/0k5ns0,Peta Wilson
heartbroken badass,James Bond,Quantum of Solace,/m/03hqwg_,Daniel Craig
heartbroken badass,Max Rockatansky,Mad Max,/m/0k09b2,Mel Gibson
heartbroken badass,Josey Wales,The Outlaw Josey Wales,/m/0k61jr,Clint Eastwood
heartbroken badass,Tallahassee,Zombieland,/m/05skv28,Woody Harrelson
heartbroken badass,Bruce Wayne,The Dark Knight Rises,/m/0n4g1dv,Christian Bale
heartbroken badass,Bill,Kill Bill Volume 1,/m/0j_fvv,David Carradine
henpecked husband,Norbit,Norbit,/m/01z0rf5,Eddie Murphy
henpecked husband,Bobby Davis,Wild Hogs,/m/0256cyz,Martin Lawrence
henpecked husband,Dr. Ernest Menville,Death Becomes Her,/m/0jx2_4,Bruce Willis
henpecked husband,Dr. Howard Bannister,"What's Up, Doc?",/m/0k7_cy,Ryan O'Neal
henpecked husband,Ned Schneebly,School of Rock,/m/0k2zjr,Mike White
hitman with a heart,Julian Noble,The Matador,/m/0k5wt7,Pierce Brosnan
hitman with a heart,Ghost Dog,Ghost Dog: The Way of the Samurai,/m/0jyr6h,Forest Whitaker
hitman with a heart,Jimmy 'The Tulip' Tudeski,The Whole Nine Yards,/m/0k6x0x,Bruce Willis
hitman with a heart,Mr. Goodkat,Lucky Number Slevin,/m/0k087f,Bruce Willis
hitman with a heart,John Lee,The Replacement Killers,/m/0k68kd,Chow Yun-Fat
hitman with a heart,Il Duce,The Boondock Saints,/m/0k4k6j,Billy Connolly
hitman with a heart,Jason Bourne,The Bourne Identity,/m/0k4kcz,Matt Damon
hitman with a heart,Frank Falenczyk,You Kill Me,/m/02vb7cx,Ben Kingsley
hitman with a heart,Wesley Gibson,Wanted,/m/02vb_l5,James McAvoy
hitman with a heart,Vincent,Collateral,/m/0jwkz6,Tom Cruise
jerk jock,Austin,Not Another Teen Movie,/m/0k1cs5,Eric Christian Olsen
jerk jock,Johnny Lawrence,The Karate Kid,/m/0k5jyf,William Zabka
jerk jock,Gaston,Beauty and the Beast,/m/0jv4jc,Richard White
jerk jock,Jim,Edward Scissorhands,/m/0jxqwd,Anthony Michael Hall
jerk jock,Biff Tannen,Back to the Future,/m/0jty60,Thomas F. Wilson
jerk jock,Kurt Kelly,Heathers,/m/0h5slxp,Lance Fenton
jerk jock,Bo,Cursed,/m/0jwwhw,Milo Ventimiglia
jerk jock,Mike Dexter,Can't Hardly Wait,/m/03jsnmf,Peter Facinelli
