Wikipedia_Movie_ID	Freebase_Movie_ID	Character_Name	Actor_Ethnicity	Actor_Name	Actor_Age_At_Movie_Release	Freebase_Character_Actor_Map_ID	Freebase_character_ID	Freebase_Actor_ID	Movie_Release_Year	Ethnicity_Label
18768079	/m/04gvb8t		/m/041rx	Melvyn Douglas	37.0	/m/04lrklr		/m/015gy7	1938.0	European, Jewish, European-Jewish, Latvian, Latvian-Jewish
156558	/m/014k4y	Yvette	/m/0x67	Taraji P. Henson	30.0	/m/0jtx5t	/m/03jnxj_	/m/0blbxk	2001.0	African, Cameroonian
156558	/m/014k4y		/m/0x67	Anthony Johnson	36.0	/m/04q66gt		/m/0fdb14	2001.0	African, Angolan
156558	/m/014k4y	Sweetpea	/m/0x67	Omar Gooding	24.0	/m/03jnxn4	/m/03jnxn7	/m/05cgxx	2001.0	Caribbean, Barbadian, North American
27611999	/m/04j284s	Cristopher Neville	/m/022fdt	Eric Bogosian	30.0	/m/04j299n	/m/0g4n19s	/m/01ngvm	1984.0	European, Asian, Eastern European, West Asian, Caucasus, Armenian
4951456	/m/0cws46		/m/0ffkb4	Charles Bronson	67.0	/m/02vbnyw		/m/01dkpb	1989.0	European, indigenous peoples, Asian, Russian, Eastern European, Lithuanian, Tatar, Central Asian
4951456	/m/0cws46	Kathleen Crowe	/m/033tf_	Peggy Lipton	42.0	/m/040s84p	/m/0h2stn2	/m/06xz0d	1989.0	European, Jewish, Western European, Irish, European-Jewish, Latvian, Irish-Jewish, Latvian-Jewish
12053509	/m/02vn81r	Monica Delancy	/m/041rx	Carrie Fisher	32.0	/m/03l00zf	/m/0gy72wb	/m/01tnbn	1989.0	European, Jewish, Asian, Russian, Eastern European, Western European, British, Irish, European-Jewish, Russian-Jewish, Asian-Jewish, Scotch-Irish, Northern Ireland, Scottish
4340003	/m/0bxzzd		/m/033tf_	Rita Hayworth	28.0	/m/03lj5sz		/m/01pl9g	1947.0	European, Romani, Spanish, Southern European
7447003	/m/0kv7sg	Russell	/m/0dqqwy	William Petersen	34.0	/m/03ltfyh	/m/0h30sbm	/m/038bht	1987.0	European, Scandinavian, Danish
7447003	/m/0kv7sg		/m/048z7l	Jamie Lee Curtis	28.0	/m/02vb5cp		/m/0hwqz	1987.0	European, Jewish, Scandinavian, Western European, British, Danish, German, Hungarian, Irish, European-Jewish, Hungarian-Jewish, Central European, Scotch-Irish, Northern Ireland, Scottish
4926447	/m/0cvh_c	Jim Fallon	/m/09kr66	Kirk Douglas	35.0	/m/0k4h08	/m/0h135g0	/m/0j582	1952.0	European, Jewish, Asian, Russian, Eastern European, European-Jewish, Russian-Jewish, Asian-Jewish
20713032	/m/052172r	Motwani	/m/0g0x7_	Kal Penn	34.0	/m/059tf4q	/m/0h2bj38	/m/03l3ln	2012.0	Asian, South Asian, Indian, Gujarati
20713032	/m/052172r	Warren Anderson	/m/042gtr	Martin Sheen	71.0	/m/09sd8l9	/m/0h0hqh4	/m/0hvb2	2012.0	European, Galician, Spanish, Southern European
21209475	/m/05b_rv_		/m/04dbw3	Cesar Romero	27.0	/m/05cj_3p		/m/022q4j	1934.0	Caribbean, European, Cuban, Spanish, North American, Southern European
29832307	/m/061l7z	Pat	/m/02ctzb	Sharon Tate	25.0	/m/02vb40g	/m/05m2jmq	/m/0c5qr	1969.0	European, Western European, Swiss, Central European
8669450	/m/027d9tv		/m/041rx	Sydney Pollack	71.0	/m/02vc6w4		/m/029m83	2005.0	European, Jewish, Asian, Russian, Eastern European, European-Jewish, Ukrainian, Russian-Jewish, Ukrainian-Jewish, Asian-Jewish
2154704	/m/06qv1c	Brook Alastair	/m/0cnvdq1	Lance Henriksen	45.0	/m/05t6mpf	/m/0j7370s	/m/02zhkz	1986.0	European, Scandinavian, Norwegian
9380065	/m/0286kkz	Vic Holden	/m/03295l	Lou Diamond Phillips	43.0	/m/03jpnrc	/m/0h2kbhp	/m/031zkw	2005.0	European, Asian, Western European, British, Irish, Spanish, East Asian, Chinese, Southern European, Scotch-Irish, Northern Ireland, Scottish
164387	/m/015wmg		/m/065b6q	Larry Bryggman	40.0	/m/03jrqlk		/m/03jyqb	1979.0	European, Scandinavian, Swedish
164387	/m/015wmg		/m/03pqwy	Christine Lahti	29.0	/m/040pkyk		/m/030b93	1979.0	European, Scandinavian, Finnish, Finnic
24863901	/m/09gnwkp	Narrator	/m/07hwkr	Kelly McGillis	52.0	/m/09j46vn	/m/0147fv	/m/01r2q_	2010.0	European, Western European, British, Irish, Scotch-Irish, Northern Ireland, Scottish, Welsh
24863901	/m/09gnwkp	Actress	/m/04gfy7	Namrata Singh Gujral	33.0	/m/09j46w3	/m/0h6z18c	/m/06n7sx	2010.0	European, indigenous peoples, Asian, South Asian, Portuguese, Tibetan, East Asian, Indian, Pakistani, Punjabi, Southern European
24863901	/m/09gnwkp	Breast Cancer Survivor	/m/04gfy7	Namrata Singh Gujral	33.0	/m/0h8248x	/m/0h8248_	/m/06n7sx	2010.0	European, indigenous peoples, Asian, South Asian, Portuguese, Tibetan, East Asian, Indian, Pakistani, Punjabi, Southern European
164388	/m/015wmt		/m/07mqps	Blythe Danner	36.0	/m/0k587m		/m/01bcq	1979.0	Caribbean, European, Barbadian, German, Swiss, North American, Swiss-German, Pennsylvania Dutch
22985953	/m/064kyn2	Burke	/m/08hpk0	Tony Curtis	28.0	/m/064z5wm	/m/0h2vp_9	/m/0hwqg	1954.0	European, Jewish, Hungarian, European-Jewish, Slovak, Hungarian-Jewish, Slovak-Jewish, Central European
21878654	/m/05p0zkv	Jack Kahuna Laguna	/m/01qhm_	Johnny Depp	45.0	/m/05tbnxk	/m/09p4fb9	/m/0jfx1	2009.0	European, Western European, French
7575175	/m/0265qmj	Father Jozo Zovko	/m/042gtr	Martin Sheen	55.0	/m/02vccr0	/m/0h0hw38	/m/0hvb2	1995.0	European, Galician, Spanish, Southern European
196176	/m/01bwgr	David Sumner	/m/041rx	Dustin Hoffman	34.0	/m/0k3v65	/m/0ch916z	/m/0bl2g	1971.0	European, Jewish, Asian, Russian, Eastern European, European-Jewish, Romanian, Ukrainian, Romanian-Jewish, Russian-Jewish, Ukrainian-Jewish, Asian-Jewish
336846	/m/01xlqd	The Teen Angel	/m/0xnvg	Frankie Avalon	38.0	/m/05pxb2r	/m/05pxb2t	/m/01m9k6y	1978.0	European, Italian, Southern European
22256486	/m/05q6jgk	Le mari de la star-fantasme en croisière	/m/0xnvg	Robert De Niro	51.0	/m/0gxsd1c	/m/0h0tdml	/m/06cgy	1995.0	European, Western European, Dutch, French, German, Central European
22256486	/m/05q6jgk	Un acteur muet à Hollywood	/m/042gtr	Martin Sheen	54.0	/m/0h0jzv9	/m/0gwsm90	/m/0hvb2	1995.0	European, Galician, Spanish, Southern European
2229321	/m/06xpdt	Steve Martin	/m/07bch9	James Stewart	45.0	/m/0k73vg	/m/0gz5m2v	/m/044qx	1953.0	European, Western European, British, Irish, Scotch-Irish, Northern Ireland, Scottish
103022	/m/0p_ss	Erica	/m/041rx	Jill Clayburgh	33.0	/m/02vd2tp	/m/0h2qvnz	/m/01gw8b	1978.0	Jewish
6367133	/m/0g2q1q		/m/0xnvg	Kevin Jonas	18.0	/m/0h114zz		/m/04d_mtq	2006.0	European, Western European, French, North American, Canadian, French-Canadian
